dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
jena_weather/D/short,Timer-S1,353.16820436507936,353.16820436507936,9.285910373263889,0.931264884766572,0.641152628787278,0.4391534714471726,6.203879003784266,18.79277000245252,0.11316319077311254,0.05591635756381577,0.04339207670660686,Nature,21
jena_weather/H/short,Timer-S1,1186.185568086884,1186.185568086884,8.823917704417294,0.5245407412638168,1.8404163504180442,0.6085297880116959,4.399717191621161,34.441044817004084,0.2111213875237509,0.054090047472433775,0.04373548584014221,Nature,21
jena_weather/H/medium,Timer-S1,1380.3741071428572,1380.3741071428572,10.39286876860119,0.7585744752727885,2.679470053734227,0.6690264989459326,9.501135893192005,37.153386213679866,0.22734815950952672,0.0635958072025085,0.053390073053683054,Nature,21
jena_weather/H/long,Timer-S1,1487.7740740740742,1487.7740740740742,11.288895089285715,0.7899650186777837,2.3048634543714748,0.6456947286292989,11.281768014888904,38.57167450440899,0.23224421506492113,0.06797165569417311,0.05725811877336987,Nature,21
kdd_cup_2018/D/short,Timer-S1,2888.4819469379613,2888.4819469379613,21.111526697253808,1.1927644855214001,0.5815057283354944,0.4631381584962431,9.41125475640176,53.74459923506697,1.2039360535220949,0.4729206003481407,0.37435323292088046,Nature,1
kdd_cup_2018/H/short,Timer-S1,3799.4047809717717,3799.4047809717717,17.311776764479383,0.7102770376341483,0.6369128993184322,0.39407134521121207,6.066495303233214,61.639311976787766,1.29022243737215,0.36236684180901446,0.2939637464614652,Nature,1
kdd_cup_2018/H/medium,Timer-S1,4214.903801345368,4214.903801345368,18.80668998170194,0.7808749466476173,0.7442768381046007,0.42908394098326846,7.814696406939882,64.92229048135447,1.3589411195204837,0.3936580818193508,0.3259362775896166,Nature,1
kdd_cup_2018/H/long,Timer-S1,3157.187595573028,3157.187595573028,17.468483603916077,0.7502911628532252,0.7575281011017023,0.4450528324769599,8.148032638251534,56.188856507078235,1.3184176268910273,0.4098812136452469,0.3404018796921119,Nature,1
m4_daily/D/short,Timer-S1,373480.24955219845,373480.24955219845,173.7375740351144,3.359706911739168,0.03818522766622784,0.03153206352979834,28.92467802850089,611.1303048877534,0.09440274323855738,0.026837653870788156,0.021406774789401867,Econ/Fin,1
m4_hourly/H/short,Timer-S1,594797.8615136876,594797.8615136876,178.06953250805154,0.7551579675443887,0.08888590470220348,0.0802675821546963,6.216630310024339,771.2313929772878,0.10529010831386353,0.02431042166578913,0.019099417251605785,Econ/Fin,1
